food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated
"Plantains, ripe, raw",0.008933,0.0,0.3095215,0.01309159873188406,0.02689873417721519,0.15161612795734755
"Plantains, underripe, raw",0.006850000000000001,0.0,0.33587325,0.01391955389492754,0.0320253164556962,0.16150172164833945
"Bulgur, dry, raw",0.02421,0.0,0.7588175,0.13310971467391305,0.14835443037974685,0.4135288237254249
"Wild rice, dry, raw",0.01704,0.0,0.756695,0.14478600543478262,0.05392405063291139,0.41008552704654005
"Arugula, baby, raw",0.0032500000000000003,0.0,0.0536825,0.01866791213768116,0.02886075949367088,0.03443296678884816
"Asparagus, green, raw",0.002163,0.0,0.051012,0.016276041666666668,0.023835443037974684,0.031211818282794627
"Corn, sweet, yellow and white kernels,  fresh, raw",0.01626,0.0,0.14689625,0.031582597373188415,0.03073417721518987,0.09396867710763078
"Fonio, grain, dry, raw",0.01693,0.0,0.8130525000000001,0.08116791213768117,0.02781012658227848,0.4099744529601244
"Khorasan, grain, dry, raw",0.027999999999999997,0.0,0.7179426999999999,0.16707121829710148,0.1331645569620253,0.4125291569476841
"Kiwifruit (kiwi), green, peeled, raw",0.0064,0.0,0.13818075000000002,0.011414458786231886,0.026949367088607595,0.07230923025658113
"Mandarin, seedless, peeled, raw",0.004575,0.0,0.13421825,0.011768285778985508,0.01681012658227848,0.06886593357769633
"Mango, Tommy Atkins, peeled, raw",0.005725,0.0,0.15265,0.006368885869565218,0.022189873417721516,0.07608574919471288
"Mango, Ataulfo, peeled, raw",0.0068130000000000005,0.0,0.173962,0.007784193840579712,0.01631645569620253,0.08719315783627679
"Pear, Anjou, green, with skin, raw",0.003713,0.0,0.147674,0.0035382699275362324,0.033367088607594936,0.0707541930467622
"Plum, black, with skin, raw",0.002825,0.0,0.13455575,0.00654579936594203,0.017037974683544305,0.06520048872598024
"Plantains, overripe, raw",0.0099,0.0,0.29191425,0.013211899909420293,0.02268354430379747,0.14472953459957794
"Carrots, frozen, unprepared",0.0047,0.0,0.0792,0.009171195652173916,0.04050632911392405,0.04354104187493058
"Flour, wheat, all-purpose, unenriched, unbleached",0.017,0.0,0.746,0.13586956521739132,0.0379746835443038,0.4017549705653671
"Flour, whole wheat, unenriched",0.0273,0.0,0.7120000000000001,0.17096920289855075,0.1341772151898734,0.4107519715650339
"Flour, rice, white, unenriched",0.013000000000000001,0.0,0.798,0.07857789855072465,0.006329113924050633,0.3984227479728979
"Flour, corn, yellow, fine meal, enriched",0.0174,0.0,0.8079999999999999,0.07019927536231885,0.05443037974683544,0.40397645229367984
"Tomatoes, grape, raw",0.0063,0.0,0.055099999999999996,0.009397644927536232,0.026582278481012658,0.03443296678884816
"Peanut butter, smooth style, with salt",0.511,0.10564853556485357,0.223,0.25475543478260876,0.060759493670886074,0.7098744862823504
"Bread, white, commercially prepared",0.0359,0.008587866108786611,0.49200000000000005,0.10677083333333334,0.02911392405063291,0.29634566255692546
"Cheese, cheddar",0.34,0.20083682008368203,0.0244,0.2638134057971015,0.0,0.4542930134399645
"Yogurt, Greek, plain, nonfat",0.0037,0.0011297071129707113,0.0364,0.11662137681159424,0.0,0.06564478507164279
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",0.059500000000000004,0.01673640167364017,0.0,0.27060688405797106,0.0,0.1657225369321337
"Olives, green, Manzanilla, stuffed with pimiento",0.129,0.02405857740585774,0.0496,0.013020833333333334,0.05063291139240506,0.15605909141397312
"Cookies, oatmeal, soft, with raisins",0.14300000000000002,0.05000000000000001,0.696,0.06555706521739131,0.04177215189873418,0.4779517938464956
"Tomatoes, canned, red, ripe, diced",0.005,0.0,0.0332,0.009510869565217392,0.0,0.023436632233699878
"Fish, pollock, raw",0.0040999999999999995,0.0013389121338912135,0.0,0.1392663043478261,0.0,0.05875819171387315
"Fish, tuna, light, canned in water, drained solids",0.0094,0.0023430962343096236,0.0008,0.21512681159420294,0.0,0.09419082528046206
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",0.0636,0.025836820083682013,0.0,0.31363224637681164,0.0,0.18660446517827392
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0639,0.026778242677824273,0.0,0.2581521739130435,0.0,0.16516716650005553
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0248,0.009968619246861925,0.0,0.2649456521739131,0.0,0.12873486615572588
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.024100000000000003,0.009665271966527198,0.0,0.26834239130434784,0.0,0.1294013106742197
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",0.053200000000000004,0.021652719665271967,0.0,0.25701992753623193,0.0,0.1540597578584916
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.114,0.04895397489539749,0.0,0.3091032608695653,0.0,0.2352549150283239
"Cheese, dry white, queso seco",0.24300000000000002,0.14330543933054393,0.0207,0.27740036231884063,0.0,0.3609907808508275
