food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster,plate_role
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",0.02,0.003,10.9,0.63,0.0,46.3,0,0,0-0,fruit / veg
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",0.33,0.068,13.04,0.63,0.6,57.6,0,0,0-0,fruit / veg
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",0.3,0.055,12.37,0.44,0.6,53.9,0,0,0-0,fruit / veg
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.17,0.029,11.49,0.12,0.3,48.0,0,0,0-0,fruit / veg
"Lemon juice from concentrate, bottled, REAL LEMON",0.07,0.027,5.66,0.47,0.7,25.2,0,0,0-0,fruit / veg
"Cranberry sauce, whole, canned, OCEAN SPRAY",0.05,0.007,40.4,0.75,1.2,165.0,0,1,0-1,protein
"Cranberry sauce, jellied, canned, OCEAN SPRAY",0.04,0.007,40.61,1.05,1.0,167.0,0,1,0-1,protein
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",0.1,0.008,10.53,0.5,0.2,45.0,0,0,0-0,fruit / veg
"Focaccia, Italian flatbread, plain",7.89,0.877,35.82,8.77,1.8,249.4,0,1,0-1,protein
"Ice creams, french vanilla, soft-serve",13.0,7.48,22.2,4.1,0.7,222.2,0,1,0-1,protein
"Puddings, chocolate, dry mix, instant, prepared with 2% milk",1.92,1.064,18.89,3.15,0.4,105.4,0,0,0-0,fruit / veg
"Sweet Potatoes, french fried, crosscut, frozen, unprepared",11.1,0.93,25.52,1.7,3.4,208.8,0,1,0-1,protein
"Sweet Potato puffs, frozen, unprepared",3.58,0.31,30.72,1.36,1.9,160.5,0,1,0-1,protein
"Stew, hominy with mutton (Navajo)",2.06,0.733,9.38,6.71,2.0,82.9,0,0,0-0,fruit / veg
"Stew, mutton, corn, squash (Navajo)",4.34,1.735,7.27,8.62,1.7,102.6,0,1,0-1,protein
"Restaurant, Latino, arroz con leche (rice pudding)",3.69,1.899,24.92,3.2,0.5,145.7,0,1,0-1,protein
"Restaurant, Latino, Arroz con frijoles negros (rice and black beans)",3.85,0.729,24.4,4.64,3.4,150.8,0,1,0-1,protein
"Restaurant, Latino, Arroz con habichuelas colorados (Rice And Red Beans)",3.46,0.502,23.74,3.96,2.6,141.9,0,1,0-1,protein
"Restaurant, Latino, Arroz con grandules (rice and pigeonpeas)",4.98,0.763,30.75,3.5,1.4,181.8,0,1,0-1,protein
"Restaurant, Latino, tamale, pork",9.04,2.692,15.75,7.35,2.4,173.8,0,1,0-1,protein
"Restaurant, Latino, black bean soup",2.57,0.535,14.79,5.1,4.9,102.7,0,0,0-0,fruit / veg
"Restaurant, Latino, tripe soup",2.58,1.045,4.07,8.61,0.0,73.9,0,0,0-0,fruit / veg
"Restaurant, Latino, arepa (unleavened cornmeal bread)",5.38,2.902,37.14,5.48,2.6,218.9,0,1,0-1,protein
"Restaurant, Chinese, beef and vegetables",5.3,0.978,7.29,7.08,1.5,105.2,0,0,0-0,fruit / veg
"DENNY'S, macaroni & cheese, from kid's menu",4.92,1.384,21.16,5.19,1.2,149.7,0,1,0-1,protein
"Restaurant, Chinese, shrimp and vegetables",4.05,0.633,4.52,5.9,1.4,78.1,0,0,0-0,fruit / veg
"Restaurant, Chinese, sweet and sour chicken",12.65,1.933,23.86,10.1,1.0,249.7,0,1,0-1,protein
"Restaurant, Chinese, chicken chow mein",2.8,0.49,8.29,6.76,1.0,85.4,0,0,0-0,fruit / veg
"Restaurant, Chinese, vegetable chow mein, without meat or noodles",1.68,0.293,5.74,1.34,1.2,43.4,0,0,0-0,fruit / veg
"OLIVE GARDEN, spaghetti with meat sauce",3.28,1.024,17.19,5.8,1.7,121.5,0,1,0-1,protein
"CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce",3.92,1.1,15.71,5.87,1.5,121.6,0,1,0-1,protein
"Babyfood, banana juice with low fat yogurt",0.8,0.517,17.54,2.5,0.4,87.4,0,0,0-0,fruit / veg
"Babyfood, mixed fruit juice with low fat yogurt",0.8,0.517,14.68,2.4,0.4,75.5,0,0,0-0,fruit / veg
"Salad dressing, italian dressing, reduced calorie",20.0,2.88,6.7,0.3,0.2,208.0,0,1,0-1,protein
"Cream substitute, liquid, light",3.5,0.896,9.1,0.8,0.0,71.1,0,0,0-0,fruit / veg
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",2.7,0.494,20.0,1.4,0.0,109.9,0,0,0-0,fruit / veg
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free",8.0,1.355,16.0,1.0,0.0,140.0,0,1,0-1,protein
"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",0.8,0.505,19.7,4.4,2.0,103.6,0,0,0-0,fruit / veg
"Frozen yogurts, chocolate",3.6,2.272,21.6,3.0,2.3,130.8,0,1,0-1,protein
"Frozen yogurts, flavors other than chocolate",3.6,2.326,21.6,3.0,0.0,130.8,0,1,0-1,protein
"Salad dressing, mayonnaise and mayonnaise-type, low calorie",19.0,2.962,23.9,0.9,0.0,270.2,0,1,0-1,protein
"Frozen novelties, juice type, orange",0.0,0.0,23.17,0.5,0.1,94.7,0,0,0-0,fruit / veg
"Cheese, cottage, lowfat, 1% milkfat, no sodium added",1.0,0.632,2.7,12.4,0.0,69.4,0,0,0-0,fruit / veg
"Mayonnaise, low sodium, low calorie or diet",19.2,3.3,16.0,0.3,0.0,238.0,0,1,0-1,protein
"Cranberry juice, unsweetened",0.13,0.01,12.2,0.39,0.1,51.5,0,0,0-0,fruit / veg
"Turnip greens, canned, no salt added",0.3,0.07,2.81,1.36,1.3,19.4,0,0,0-0,fruit / veg
"Beverages, cranberry-apple juice drink, low calorie, with vitamin C added",0.0,0.0,4.7,0.1,0.1,19.2,0,0,0-0,fruit / veg
"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",1.9,0.705,11.53,4.34,1.1,80.6,0,0,0-0,fruit / veg
"Beans, baked, canned, no salt added",0.4,0.103,20.49,4.8,5.5,104.8,0,1,0-1,protein
"Jellyfish, dried, salted",1.4,0.273,0.0,5.5,0.0,34.6,0,0,0-0,fruit / veg
"Frozen novelties, ice type, pop, with low calorie sweetener",0.0,0.0,5.92,0.0,0.0,23.7,0,0,0-0,fruit / veg
"Babyfood, dessert, peach yogurt",0.18,0.117,17.6,0.9,0.4,75.6,0,0,0-0,fruit / veg
"Babyfood, dessert, blueberry yogurt, strained",0.7,0.452,17.05,0.5,0.4,76.5,0,0,0-0,fruit / veg
"Babyfood, dessert, banana yogurt, strained",0.52,0.37,17.35,1.1,0.5,78.5,0,0,0-0,fruit / veg
"Ice creams, chocolate, rich",16.98,10.377,19.78,4.72,0.9,250.8,0,1,0-1,protein
"Babyfood, fruit supreme dessert",0.2,0.03,17.18,0.5,2.0,72.5,0,0,0-0,fruit / veg
"Babyfood, grape juice, no sugar, canned",0.0,0.0,15.38,0.0,0.0,61.5,0,0,0-0,fruit / veg
"Kiwifruit, green, raw",0.52,0.029,14.66,1.14,3.0,67.9,0,0,0-0,fruit / veg
"Kumquats, raw",0.86,0.103,15.9,1.88,6.5,78.9,0,0,0-0,fruit / veg
"Limes, raw",0.2,0.022,10.54,0.7,2.8,46.8,0,0,0-0,fruit / veg
"Lime juice, raw",0.07,0.008,8.42,0.42,0.4,36.0,0,0,0-0,fruit / veg
"Lime juice, canned or bottled, unsweetened",0.23,0.026,6.69,0.25,0.4,29.8,0,0,0-0,fruit / veg
"Prunes, canned, heavy syrup pack, solids and liquids",0.2,0.016,27.8,0.87,3.8,116.5,0,1,0-1,protein
"Quinces, raw",0.1,0.01,15.3,0.4,1.9,63.7,0,0,0-0,fruit / veg
"Rambutan, canned, syrup pack",0.21,0.0,20.87,0.65,0.9,88.0,0,0,0-0,fruit / veg
"Rhubarb, frozen, uncooked",0.11,0.029,5.1,0.55,1.8,23.6,0,0,0-0,fruit / veg
"Rhubarb, frozen, cooked, with sugar",0.05,0.014,31.2,0.39,2.0,126.8,0,1,0-1,protein
"Strawberries, canned, heavy syrup pack, solids and liquids",0.26,0.014,23.53,0.56,1.7,98.7,0,0,0-0,fruit / veg
"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",0.11,0.006,9.13,0.43,2.1,39.2,0,0,0-0,fruit / veg
"Strawberries, frozen, sweetened, sliced",0.13,0.007,25.92,0.53,1.9,107.0,0,0,0-0,fruit / veg
"Sugar-apples, (sweetsop), raw",0.29,0.048,23.64,2.06,4.4,105.4,0,0,0-0,fruit / veg
"Feijoa, raw",0.42,0.104,15.21,0.71,6.4,67.5,0,0,0-0,fruit / veg
"Pears, asian, raw",0.23,0.012,10.65,0.5,3.6,46.7,0,0,0-0,fruit / veg
