food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free",8.0,1.355,16.0,1.0,0.0,140.0,0,1,0-1
"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",0.8,0.505,19.7,4.4,2.0,103.6,0,0,0-0
"Frozen yogurts, chocolate",3.6,2.272,21.6,3.0,2.3,130.8,0,1,0-1
"Frozen yogurts, flavors other than chocolate",3.6,2.326,21.6,3.0,0.0,130.8,0,1,0-1
"Salad dressing, mayonnaise and mayonnaise-type, low calorie",19.0,2.962,23.9,0.9,0.0,270.2,0,1,0-1
"Frozen novelties, juice type, orange",0.0,0.0,23.17,0.5,0.1,94.7,0,0,0-0
"Cheese, cottage, lowfat, 1% milkfat, no sodium added",1.0,0.632,2.7,12.4,0.0,69.4,0,0,0-0
"Mayonnaise, low sodium, low calorie or diet",19.2,3.3,16.0,0.3,0.0,238.0,0,1,0-1
"Cranberry juice, unsweetened",0.13,0.01,12.2,0.39,0.1,51.5,0,0,0-0
"Turnip greens, canned, no salt added",0.3,0.07,2.81,1.36,1.3,19.4,0,0,0-0
"Beverages, cranberry-apple juice drink, low calorie, with vitamin C added",0.0,0.0,4.7,0.1,0.1,19.2,0,0,0-0
"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",1.9,0.705,11.53,4.34,1.1,80.6,0,0,0-0
"Beans, baked, canned, no salt added",0.4,0.103,20.49,4.8,5.5,104.8,0,1,0-1
"Jellyfish, dried, salted",1.4,0.273,0.0,5.5,0.0,34.6,0,0,0-0
"Frozen novelties, ice type, pop, with low calorie sweetener",0.0,0.0,5.92,0.0,0.0,23.7,0,0,0-0
"Babyfood, dessert, peach yogurt",0.18,0.117,17.6,0.9,0.4,75.6,0,0,0-0
"Babyfood, dessert, blueberry yogurt, strained",0.7,0.452,17.05,0.5,0.4,76.5,0,0,0-0
"Babyfood, dessert, banana yogurt, strained",0.52,0.37,17.35,1.1,0.5,78.5,0,0,0-0
"Ice creams, chocolate, rich",16.98,10.377,19.78,4.72,0.9,250.8,0,1,0-1
"Babyfood, fruit supreme dessert",0.2,0.03,17.18,0.5,2.0,72.5,0,0,0-0
"Babyfood, grape juice, no sugar, canned",0.0,0.0,15.38,0.0,0.0,61.5,0,0,0-0
"Kiwifruit, green, raw",0.52,0.029,14.66,1.14,3.0,67.9,0,0,0-0
"Kumquats, raw",0.86,0.103,15.9,1.88,6.5,78.9,0,0,0-0
"Limes, raw",0.2,0.022,10.54,0.7,2.8,46.8,0,0,0-0
"Lime juice, raw",0.07,0.008,8.42,0.42,0.4,36.0,0,0,0-0
"Lime juice, canned or bottled, unsweetened",0.23,0.026,6.69,0.25,0.4,29.8,0,0,0-0
"Prunes, canned, heavy syrup pack, solids and liquids",0.2,0.016,27.8,0.87,3.8,116.5,0,1,0-1
"Quinces, raw",0.1,0.01,15.3,0.4,1.9,63.7,0,0,0-0
"Rambutan, canned, syrup pack",0.21,0.0,20.87,0.65,0.9,88.0,0,0,0-0
"Rhubarb, frozen, uncooked",0.11,0.029,5.1,0.55,1.8,23.6,0,0,0-0
"Rhubarb, frozen, cooked, with sugar",0.05,0.014,31.2,0.39,2.0,126.8,0,1,0-1
"Strawberries, canned, heavy syrup pack, solids and liquids",0.26,0.014,23.53,0.56,1.7,98.7,0,0,0-0
"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",0.11,0.006,9.13,0.43,2.1,39.2,0,0,0-0
"Strawberries, frozen, sweetened, sliced",0.13,0.007,25.92,0.53,1.9,107.0,0,0,0-0
"Sugar-apples, (sweetsop), raw",0.29,0.048,23.64,2.06,4.4,105.4,0,0,0-0
"Feijoa, raw",0.42,0.104,15.21,0.71,6.4,67.5,0,0,0-0
"Pears, asian, raw",0.23,0.012,10.65,0.5,3.6,46.7,0,0,0-0
"Fruit cocktail, canned, heavy syrup, drained",0.1,0.014,18.8,0.47,1.7,78.0,0,0,0-0
"Blueberries, canned, light syrup, drained",0.4,0.028,22.66,1.04,2.6,98.4,0,0,0-0
"Blueberries, wild, canned, heavy syrup, drained",0.34,0.0,28.32,0.56,4.9,118.6,0,1,0-1
"Peaches, canned, heavy syrup, drained",0.18,0.013,18.43,0.52,1.2,77.4,0,0,0-0
"Pears, canned, heavy syrup, drained",0.18,0.01,19.08,0.24,2.7,78.9,0,0,0-0
"Plums, canned, heavy syrup, drained",0.14,0.011,23.12,0.44,1.5,95.5,0,0,0-0
"Tangerines, (mandarin oranges), canned, juice pack, drained",0.04,0.004,9.41,0.75,1.2,41.0,0,0,0-0
"Peach nectar, canned, with added ascorbic acid",0.51,0.224,11.93,0.21,0.1,53.2,0,0,0-0
"Pear nectar, canned, with added ascorbic acid",0.01,0.001,15.76,0.11,0.6,63.6,0,0,0-0
"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",0.12,0.008,12.87,0.36,0.2,54.0,0,0,0-0
"Grapefruit juice, white, bottled, unsweetened, OCEAN SPRAY",0.64,0.0,7.51,0.54,0.6,38.0,0,0,0-0
"Jackfruit, canned, syrup pack",0.14,0.0,23.94,0.36,0.9,98.5,0,0,0-0
"Pineapple, raw, extra sweet variety",0.11,0.0,13.5,0.53,1.4,57.1,0,0,0-0
"Clementines, raw",0.15,0.0,12.02,0.85,1.7,52.8,0,0,0-0
"Guanabana nectar, canned",0.17,0.029,14.93,0.11,0.1,61.7,0,0,0-0
"Juice, apple and grape blend, with added ascorbic acid",0.12,0.023,12.46,0.16,0.2,51.6,0,0,0-0
"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",0.12,0.021,12.96,0.17,0.2,53.6,0,0,0-0
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",0.2,0.0,14.06,0.27,2.3,59.1,0,0,0-0
"Apples, raw, golden delicious, with skin",0.15,0.0,13.6,0.28,2.4,56.9,0,0,0-0
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",0.19,0.0,13.61,0.44,2.8,57.9,0,0,0-0
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",0.12,0.0,13.68,0.25,2.3,56.8,0,0,0-0
"Pineapple juice, canned, not from concentrate, unsweetened, with added vitamins A, C and E",0.14,0.0,12.18,0.36,0.2,51.4,0,0,0-0
"Fruit juice smoothie, NAKED JUICE, BLUE MACHINE",0.0,0.0,16.67,0.42,2.9,68.4,0,0,0-0
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",0.13,0.025,14.77,0.37,0.2,61.7,0,0,0-0
